127.0.0.1 - - [07/Mar/2024:09:19:15 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Mar/2024:09:19:16 +0530] "GET /student_management_system/ HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [07/Mar/2024:09:19:24 +0530] "POST /student_management_system/student HTTP/1.1" 500 1384
0:0:0:0:0:0:0:1 - - [07/Mar/2024:09:20:14 +0530] "POST /student_management_system/student HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [07/Mar/2024:09:41:57 +0530] "POST /student_management_system/student HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [07/Mar/2024:09:58:58 +0530] "GET /student_management_system/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:09:59:18 +0530] "GET /student_management_system/find.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [07/Mar/2024:09:59:22 +0530] "GET /student_management_system/find.jsp?id=1&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:00:03 +0530] "GET /student_management_system/find.jsp?id=2&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:00:11 +0530] "GET /student_management_system/find.jsp?id=5&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:30 +0530] "GET /student_management_system/find.jsp?id=1&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:33 +0530] "GET /student_management_system/find.jsp?id=1&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:35 +0530] "GET /student_management_system/find.jsp?id=1&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:36 +0530] "GET /student_management_system/find.jsp?id=1&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:37 +0530] "GET /student_management_system/find.jsp?id=1&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:41 +0530] "GET /student_management_system/find.jsp?id=1&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:47 +0530] "GET /student_management_system/find.jsp?id=2&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:48 +0530] "GET /student_management_system/find.jsp?id=2&Submit=Submit HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:53 +0530] "GET /student_management_system/find.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:02:56 +0530] "GET /student_management_system/find.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:03:00 +0530] "GET /student_management_system/find.jsp?id=1&Submit=Submit HTTP/1.1" 200 382
